iter	RMSE
0	14.7331082
1	14.4505885
2	14.2292022
3	13.97399368
4	13.72396314
5	13.48592239
6	13.27276267
7	13.06190416
8	12.84121445
9	12.63642832
10	12.43261075
11	12.2603199
12	12.0627229
13	11.87348113
14	11.70576884
15	11.53352548
16	11.37182335
17	11.20904452
18	11.05842705
19	10.91169551
20	10.76017715
21	10.61151104
22	10.47367573
23	10.34511597
24	10.20313146
25	10.07680244
26	9.985655654
27	9.868857808
28	9.752429021
29	9.657174806
30	9.557555623
31	9.46803428
32	9.377406806
33	9.271873402
34	9.190532537
35	9.108497521
36	9.012764918
37	8.928426136
38	8.854363785
39	8.758718334
40	8.686267697
41	8.617888677
42	8.549008954
43	8.482240037
44	8.42256123
45	8.338501935
46	8.261029038
47	8.196433823
48	8.142922732
49	8.073961354
50	8.011163594
51	7.943789135
52	7.890020344
53	7.823674379
54	7.776566934
55	7.72568759
56	7.684627057
57	7.635546401
58	7.574507212
59	7.51784562
60	7.463838579
61	7.417421208
62	7.375562186
63	7.330074359
64	7.288589757
65	7.248161168
66	7.211952967
67	7.173303007
68	7.140972338
69	7.104945869
70	7.077766825
71	7.047832749
72	7.013813536
73	6.981295655
74	6.944065053
75	6.914299977
76	6.88862071
77	6.863968585
78	6.823577553
79	6.798460622
80	6.764298033
81	6.74170529
82	6.717107307
83	6.694289387
84	6.661341828
85	6.628546481
86	6.606799487
87	6.582433345
88	6.559158615
89	6.537421359
90	6.51786247
91	6.496027107
92	6.470466329
93	6.450733503
94	6.429849007
95	6.411038952
96	6.396879674
97	6.381315492
98	6.356435614
99	6.340850712
100	6.327595382
101	6.310353938
102	6.287985142
103	6.271745602
104	6.257419577
105	6.243848868
106	6.227398176
107	6.214021554
108	6.201631773
109	6.188013114
110	6.166299158
111	6.152596288
112	6.135326605
113	6.123580148
114	6.113631662
115	6.100161881
116	6.088336018
117	6.078506851
118	6.06200138
119	6.052127206
120	6.039727091
121	6.029050383
122	6.014445761
123	6.000057465
124	5.990633352
125	5.975680529
126	5.968866302
127	5.9608247
128	5.950606361
129	5.945440498
130	5.934050823
131	5.92492605
132	5.919874024
133	5.912458178
134	5.899922194
135	5.893167908
136	5.883168275
137	5.873644673
138	5.864877955
139	5.856671231
140	5.847227292
141	5.838520575
142	5.83052746
143	5.819419062
144	5.812785781
145	5.804033662
146	5.797447401
147	5.790855665
148	5.782147937
149	5.774104213
150	5.76754715
151	5.760071294
152	5.752855267
153	5.74872393
154	5.741954683
155	5.737093806
156	5.731224319
157	5.726790931
158	5.721109416
159	5.71572203
160	5.711705401
161	5.707285234
162	5.699960917
163	5.69509449
164	5.687000632
165	5.681542302
166	5.676279527
167	5.66974045
168	5.666670713
169	5.658363788
170	5.653692815
171	5.648819151
172	5.641385058
173	5.635264334
174	5.632127198
175	5.625528928
176	5.620328094
177	5.616148885
178	5.611713958
179	5.607952862
180	5.603635499
181	5.59766449
182	5.592278452
183	5.588785073
184	5.583154297
185	5.576915774
186	5.572720899
187	5.569630104
188	5.565635034
189	5.562411483
190	5.556156868
191	5.553272703
192	5.550195343
193	5.546763447
194	5.543766306
195	5.539512945
196	5.534243428
197	5.529393548
198	5.526167069
199	5.521508569
200	5.518377943
201	5.513798046
202	5.510338766
203	5.506806604
204	5.504324544
205	5.50096459
206	5.497427894
207	5.493227839
208	5.488745932
209	5.486234164
210	5.482942989
211	5.480698385
212	5.47877723
213	5.475692179
214	5.47352917
215	5.470139414
216	5.468418647
217	5.464564763
218	5.460865705
219	5.45859174
220	5.456773993
221	5.454953372
222	5.451136606
223	5.449477547
224	5.446314961
225	5.442772747
226	5.439827454
227	5.437229403
228	5.434567151
229	5.432821611
230	5.42987863
231	5.428159125
232	5.42601663
233	5.42442082
234	5.422837046
235	5.421632728
236	5.420147413
237	5.417406218
238	5.415501315
239	5.412531106
240	5.411027773
241	5.408948112
242	5.407735287
243	5.406203077
244	5.403229124
245	5.401891789
246	5.400688385
247	5.399642758
248	5.39842376
249	5.395152138
250	5.392341741
251	5.390463887
252	5.38948749
253	5.387482522
254	5.384877702
255	5.382358935
256	5.380708854
257	5.379779341
258	5.378688019
259	5.376811728
260	5.374866791
261	5.372599522
262	5.371349362
263	5.369524724
264	5.367505326
265	5.365752101
266	5.362685926
267	5.361548626
268	5.359225954
269	5.358243333
270	5.356085812
271	5.354154555
272	5.352566923
273	5.351629423
274	5.34997067
275	5.34717992
276	5.346373066
277	5.345144046
278	5.344274953
279	5.342469015
280	5.341149992
281	5.339136779
282	5.337374634
283	5.33642042
284	5.334755688
285	5.333055847
286	5.332319351
287	5.330212432
288	5.329296226
289	5.328684039
290	5.327123399
291	5.324552442
292	5.323044089
293	5.322232206
294	5.321179783
295	5.319347266
296	5.316980597
297	5.315262732
298	5.313622382
299	5.311965975
300	5.310302444
301	5.309754174
302	5.309069811
303	5.307714189
304	5.306262261
305	5.305609074
306	5.304839442
307	5.30366302
308	5.303173057
309	5.302608925
310	5.301229744
311	5.300313034
312	5.299879794
313	5.298541595
314	5.297818027
315	5.297423712
316	5.295206935
317	5.293785362
318	5.291727532
319	5.289263257
320	5.288149283
321	5.286800651
322	5.286175382
323	5.285145657
324	5.284558961
325	5.28420706
326	5.283701645
327	5.283222556
328	5.281336307
329	5.279781407
330	5.278430034
331	5.277180108
332	5.274890704
333	5.273113124
334	5.27146946
335	5.270274518
336	5.26902505
337	5.268592111
338	5.268224498
339	5.266726863
340	5.265281693
341	5.264154763
342	5.262010298
343	5.260725045
344	5.259798815
345	5.258618936
346	5.25816372
347	5.25751344
348	5.256222551
349	5.255789842
350	5.253718663
351	5.252799844
352	5.252396995
353	5.251422302
354	5.250128778
355	5.249146459
356	5.248235718
357	5.24628757
358	5.24476156
359	5.244026887
360	5.242615075
361	5.241420726
362	5.240610518
363	5.238791551
364	5.236828757
365	5.235855742
366	5.234987134
367	5.2340586
368	5.233133163
369	5.232070722
370	5.231220475
371	5.228956018
372	5.228722292
373	5.22778654
374	5.226509221
375	5.22442526
376	5.223689023
377	5.222315658
378	5.221237913
379	5.220242939
380	5.218299352
381	5.217239388
382	5.216779247
383	5.215663943
384	5.214004739
385	5.213013391
386	5.21217793
387	5.211403679
388	5.21035365
389	5.208828909
390	5.208101107
391	5.207390096
392	5.206478867
393	5.205173556
394	5.203966528
395	5.203306828
396	5.20208724
397	5.201494938
398	5.200339331
399	5.199503713
400	5.198376031
401	5.197232264
402	5.195833906
403	5.194842466
404	5.193259498
405	5.192107824
406	5.191308306
407	5.189467522
408	5.188894249
409	5.187812354
