iter	Passed	Remaining
0	140	139919
1	140	70168
2	141	46908
3	141	35275
4	142	28292
5	142	23639
6	143	20313
7	143	17820
8	144	15881
9	144	14328
10	145	13058
11	145	12000
12	146	11119
13	147	10357
14	147	9695
15	148	9112
16	148	8586
17	149	8129
18	149	7720
19	150	7351
20	150	7017
21	151	6714
22	151	6437
23	152	6183
24	152	5949
25	153	5734
26	153	5541
27	154	5355
28	154	5181
29	155	5019
30	155	4867
31	156	4724
32	156	4589
33	157	4461
34	157	4342
35	157	4229
36	158	4122
37	158	4020
38	159	3925
39	159	3834
40	160	3747
41	160	3665
42	161	3584
43	161	3510
44	162	3440
45	162	3371
46	163	3305
47	163	3242
48	163	3181
49	164	3123
50	164	3068
51	165	3014
52	165	2962
53	166	2912
54	166	2863
55	167	2817
56	167	2772
57	168	2731
58	168	2692
59	169	2653
60	169	2614
61	170	2577
62	170	2540
63	171	2504
64	171	2470
65	172	2436
66	172	2405
67	173	2373
68	173	2343
69	174	2313
70	174	2284
71	175	2255
72	175	2228
73	176	2202
74	176	2177
75	177	2152
76	177	2128
77	178	2104
78	178	2081
79	179	2059
80	179	2037
81	180	2015
82	180	1994
83	181	1974
84	181	1954
85	182	1935
86	182	1916
87	183	1897
88	183	1881
89	184	1864
90	184	1847
91	185	1830
92	185	1813
93	186	1796
94	186	1780
95	187	1763
96	187	1747
97	188	1732
98	188	1716
99	189	1701
100	189	1687
101	190	1672
102	190	1659
103	191	1646
104	191	1634
105	192	1621
106	192	1608
107	193	1596
108	193	1584
109	194	1571
110	194	1558
111	194	1545
112	195	1533
113	195	1522
114	196	1510
115	196	1498
116	197	1487
117	197	1476
118	198	1466
119	198	1456
120	199	1447
121	199	1435
122	200	1426
123	200	1416
124	200	1406
125	201	1397
126	201	1387
127	202	1378
128	202	1369
129	203	1360
130	203	1351
131	204	1342
132	204	1334
133	205	1325
134	205	1317
135	206	1309
136	206	1301
137	207	1293
138	207	1286
139	208	1278
140	208	1270
141	208	1262
142	209	1255
143	210	1248
144	210	1241
145	210	1234
146	211	1226
147	211	1219
148	212	1212
149	212	1205
150	213	1198
151	213	1192
152	214	1186
153	214	1180
154	215	1173
155	215	1167
156	216	1161
157	216	1155
158	217	1149
159	217	1142
160	218	1136
161	218	1130
162	219	1124
163	219	1118
164	219	1112
165	220	1107
166	220	1102
167	221	1096
168	221	1091
169	222	1086
170	223	1081
171	223	1076
172	224	1070
173	224	1066
174	225	1061
175	225	1056
176	226	1051
177	226	1045
178	226	1040
179	227	1035
180	227	1030
181	228	1026
182	229	1022
183	229	1018
184	230	1013
185	230	1009
186	231	1004
187	231	1000
188	232	995
189	232	991
190	232	986
191	233	982
192	233	977
193	234	973
194	234	968
195	235	964
196	235	960
197	236	957
198	236	953
199	237	949
200	237	945
201	238	941
202	238	937
203	239	933
204	239	929
205	240	926
206	240	922
207	241	918
208	241	915
209	242	911
210	242	907
211	243	903
212	243	900
213	244	897
214	244	894
215	245	890
216	245	887
217	246	883
218	246	880
219	247	877
220	247	873
221	248	870
222	248	867
223	249	863
224	249	860
225	250	856
226	250	853
227	251	850
228	251	847
229	252	844
230	252	841
231	253	838
232	253	835
233	254	834
234	255	831
235	255	828
236	256	825
237	256	822
238	257	819
239	257	816
240	258	813
241	258	810
242	259	807
243	259	805
244	260	802
245	260	799
246	261	796
247	261	793
248	262	790
249	262	788
250	263	785
251	263	782
252	264	779
253	264	777
254	265	774
255	265	771
256	266	769
257	266	766
258	267	764
259	267	762
260	268	759
261	268	756
262	269	754
263	269	751
264	270	749
265	270	746
266	271	744
267	271	741
268	271	739
269	272	736
270	273	734
271	273	732
272	274	730
273	274	728
274	275	725
275	275	723
276	276	720
277	276	718
278	277	716
279	277	713
280	277	711
281	278	708
282	278	706
283	279	704
284	279	702
285	280	699
286	280	697
287	281	695
288	281	693
289	282	691
290	282	689
291	283	686
292	283	684
293	284	682
294	284	680
295	285	678
296	285	675
297	286	673
298	286	671
299	287	669
300	287	667
301	287	665
302	288	663
303	289	661
304	289	659
305	290	657
306	290	655
307	291	653
308	291	651
309	292	649
310	292	648
311	293	646
312	295	647
313	296	646
314	297	646
315	297	644
316	298	643
317	299	641
318	299	639
319	300	638
320	300	636
321	301	634
322	301	632
323	302	631
324	302	629
325	303	628
326	304	626
327	305	625
328	306	624
329	306	622
330	307	620
331	307	619
332	308	617
333	308	615
334	309	614
335	309	612
336	310	611
337	311	609
338	311	608
339	312	606
340	312	604
341	313	603
342	314	601
343	314	600
344	315	598
345	315	596
346	316	595
347	316	593
348	317	591
349	317	590
350	318	589
351	319	587
352	319	585
353	320	584
354	320	582
355	321	581
356	321	579
357	322	578
358	322	576
359	323	574
360	323	573
361	324	571
362	324	570
363	325	568
364	326	567
365	326	566
366	327	564
367	327	563
368	328	561
369	328	560
370	329	558
371	329	557
372	330	555
373	331	554
374	331	552
375	332	551
376	332	549
377	333	548
378	333	546
379	334	545
380	334	543
381	335	542
382	335	540
383	336	539
384	336	538
385	337	536
386	337	535
387	338	533
388	338	532
389	339	530
390	339	529
391	340	527
392	340	526
393	341	525
394	341	523
395	342	522
396	342	520
397	343	519
398	343	517
399	344	516
400	344	514
401	345	513
402	345	511
403	346	510
404	346	509
405	346	507
406	347	506
407	347	504
408	348	503
409	349	502
410	349	501
411	350	499
412	350	498
413	351	496
414	351	495
415	352	494
416	352	492
417	353	491
418	353	490
419	353	488
420	354	487
421	354	486
422	355	484
423	355	483
424	356	482
425	357	481
426	357	479
427	358	478
428	358	477
429	359	475
430	359	474
431	360	473
432	360	472
433	361	471
434	361	469
435	362	468
436	362	467
437	363	466
438	364	465
439	364	464
440	365	462
441	365	461
442	366	460
443	366	459
444	367	458
445	367	456
446	368	455
447	368	454
448	369	453
449	370	452
450	371	451
451	371	450
452	372	449
453	373	449
454	374	448
455	374	447
456	375	445
457	375	444
458	376	443
459	376	442
460	377	441
461	377	440
462	378	438
463	379	437
464	379	436
465	380	435
466	380	434
467	381	433
468	381	432
469	382	431
470	382	429
471	383	428
472	383	427
473	384	426
474	384	425
475	385	424
476	385	423
477	386	422
478	387	420
479	387	419
480	388	418
481	388	417
482	389	416
483	389	415
484	390	414
485	390	413
486	391	412
487	391	410
488	392	409
489	392	408
490	393	407
491	394	407
492	394	406
493	395	404
494	395	403
495	396	402
496	396	401
497	397	400
498	397	399
499	398	398
500	398	397
501	399	396
502	399	395
503	400	394
504	401	393
505	401	392
506	402	391
507	402	390
508	403	389
509	403	388
510	404	387
511	404	385
512	405	384
513	406	383
514	406	382
515	407	381
516	407	380
517	408	379
518	408	379
519	409	378
520	410	376
521	410	375
522	411	374
523	411	373
524	412	372
525	412	371
526	413	370
527	413	369
528	414	368
529	414	367
530	415	366
531	415	365
532	416	364
533	417	363
534	417	362
535	418	361
536	418	360
537	418	359
538	419	358
539	420	357
540	420	356
541	420	355
542	421	354
543	421	353
544	422	352
545	422	351
546	423	350
547	424	349
548	424	348
549	425	347
550	425	346
551	426	345
552	426	345
553	427	344
554	427	343
555	428	342
556	428	341
557	429	340
558	429	339
559	430	338
560	431	337
561	431	336
562	432	335
563	432	334
564	433	333
565	433	332
566	434	331
567	434	330
568	435	329
569	435	328
570	436	327
571	436	326
572	437	325
573	437	325
574	438	324
575	439	323
576	439	322
577	440	321
578	440	320
579	441	319
580	441	318
581	442	317
582	443	316
583	443	316
584	444	315
585	445	314
586	445	313
587	446	312
588	446	311
589	447	310
590	448	310
591	448	309
592	448	308
593	449	307
594	449	306
595	450	305
596	451	304
597	451	303
598	452	302
599	452	301
600	453	300
601	453	299
602	454	299
603	454	298
604	455	297
605	455	296
606	456	295
607	457	294
608	457	293
609	458	292
610	458	292
611	459	291
612	459	290
613	460	289
614	461	288
615	461	287
616	462	287
617	462	286
618	463	285
619	463	284
620	464	283
621	464	282
622	465	281
623	465	280
624	466	279
625	466	278
626	467	278
627	467	277
628	468	276
629	469	275
630	469	274
631	470	273
632	470	273
633	471	272
634	471	271
635	472	270
636	472	269
637	473	268
638	474	267
639	474	266
640	475	266
641	475	265
642	476	264
643	476	263
644	477	262
645	477	261
646	478	261
647	479	260
648	479	259
649	480	258
650	480	257
651	481	256
652	481	255
653	482	255
654	482	254
655	482	253
656	483	252
657	484	251
658	484	250
659	485	250
660	486	249
661	486	248
662	487	247
663	487	246
664	488	245
665	488	245
666	489	244
667	489	243
668	490	242
669	490	241
670	491	240
671	491	240
672	492	239
673	493	238
674	493	237
675	494	236
676	494	236
677	495	235
678	495	234
679	496	233
680	496	232
681	497	231
682	497	231
683	498	230
684	499	229
685	499	228
686	500	227
687	500	226
688	500	226
689	501	225
690	501	224
691	502	223
692	502	222
693	503	221
694	503	221
695	504	220
696	504	219
697	505	218
698	505	217
699	506	217
700	506	216
701	507	215
702	507	214
703	508	213
704	509	212
705	509	212
706	510	211
707	510	210
708	510	209
709	511	208
710	511	208
711	512	207
712	512	206
713	513	205
714	514	204
715	514	204
716	515	203
717	515	202
718	516	201
719	516	200
720	517	200
721	517	199
722	518	198
723	518	197
724	519	196
725	519	196
726	519	195
727	520	194
728	521	193
729	521	192
730	522	192
731	522	191
732	523	190
733	523	189
734	524	188
735	524	188
736	525	187
737	525	186
738	526	185
739	526	185
740	527	184
741	527	183
742	528	182
743	529	182
744	529	181
745	530	180
746	530	179
747	531	178
748	531	178
749	531	177
750	532	176
751	532	175
752	533	174
753	533	174
754	534	173
755	534	172
756	535	171
757	535	171
758	536	170
759	537	169
760	537	168
761	538	168
762	538	167
763	539	166
764	539	165
765	540	165
766	540	164
767	541	163
768	541	162
769	542	161
770	542	161
771	543	160
772	543	159
773	544	158
774	544	158
775	545	157
776	545	156
777	546	155
778	546	155
779	547	154
780	547	153
781	548	152
782	548	152
783	548	151
784	549	150
785	549	149
786	550	148
787	550	148
788	551	147
789	552	146
790	552	146
791	553	145
792	553	144
793	554	143
794	554	143
795	555	142
796	555	141
797	556	140
798	556	140
799	557	139
800	557	138
801	557	137
802	558	137
803	559	136
804	559	135
805	560	134
806	560	134
807	561	133
808	561	132
809	562	131
810	562	131
811	562	130
812	563	129
813	563	128
814	564	128
815	564	127
816	565	126
817	565	125
818	566	125
819	566	124
820	567	123
821	568	122
822	568	122
823	569	121
824	569	120
825	570	120
826	570	119
827	571	118
828	571	117
829	572	117
830	572	116
831	573	115
832	573	115
833	574	114
834	574	113
835	575	112
836	575	112
837	576	111
838	576	110
839	577	109
840	577	109
841	578	108
842	578	107
843	579	107
844	579	106
845	580	105
846	580	104
847	581	104
848	581	103
849	582	102
850	582	102
851	583	101
852	583	100
853	584	99
854	584	99
855	585	98
856	585	97
857	586	96
858	586	96
859	586	95
860	587	94
861	587	94
862	588	93
863	588	92
864	589	91
865	589	91
866	590	90
867	590	89
868	591	89
869	591	88
870	592	87
871	592	87
872	593	86
873	593	85
874	594	84
875	594	84
876	594	83
877	595	82
878	596	82
879	596	81
880	597	80
881	597	79
882	598	79
883	598	78
884	599	77
885	599	77
886	600	76
887	600	75
888	601	75
889	601	74
890	602	73
891	602	72
892	603	72
893	603	71
894	604	70
895	604	70
896	605	69
897	605	68
898	606	68
899	606	67
900	607	66
901	607	66
902	608	65
903	609	64
904	609	63
905	610	63
906	611	62
907	611	61
908	612	61
909	612	60
910	613	59
911	614	59
912	614	58
913	615	57
914	615	57
915	615	56
916	616	55
917	617	55
918	617	54
919	617	53
920	618	53
921	619	52
922	619	51
923	620	51
924	620	50
925	621	49
926	621	48
927	622	48
928	622	47
929	623	46
930	623	46
931	624	45
932	624	44
933	625	44
934	625	43
935	626	42
936	626	42
937	627	41
938	627	40
939	628	40
940	628	39
941	629	38
942	629	38
943	630	37
944	630	36
945	631	36
946	631	35
947	632	34
948	632	34
949	633	33
950	634	32
951	634	32
952	635	31
953	636	30
954	636	29
955	637	29
956	637	28
957	638	27
958	638	27
959	639	26
960	639	25
961	639	25
962	640	24
963	641	23
964	641	23
965	642	22
