iter	RMSE
0	14.66215453
1	14.31476064
2	13.97992549
3	13.64889047
4	13.3409623
5	13.03557203
6	12.76028934
7	12.48484722
8	12.20002278
9	11.93669185
10	11.70552423
11	11.49002692
12	11.24520888
13	11.04803489
14	10.82479781
15	10.63987374
16	10.46491898
17	10.31818156
18	10.12739983
19	9.957661512
20	9.820103744
21	9.675185488
22	9.53607532
23	9.387083303
24	9.248035155
25	9.101322231
26	8.988400602
27	8.846638451
28	8.728670068
29	8.611155064
30	8.510284902
31	8.409189919
32	8.310500898
33	8.210634948
34	8.123216427
35	8.017531251
36	7.924171627
37	7.840911172
38	7.772930221
39	7.698910829
40	7.626510027
41	7.550010501
42	7.485594483
43	7.419971414
44	7.344059714
45	7.282414734
46	7.221825676
47	7.157828871
48	7.117328128
49	7.061055758
50	7.008683603
51	6.960014104
52	6.907579487
53	6.855618763
54	6.800146689
55	6.757046137
56	6.71220678
57	6.672427061
58	6.639224198
59	6.601342419
60	6.550619329
61	6.501767845
62	6.468352506
63	6.427805544
64	6.391874073
65	6.358947899
66	6.330791601
67	6.305373436
68	6.279746244
69	6.252956825
70	6.215621212
71	6.195936298
72	6.165381193
73	6.144301325
74	6.119096323
75	6.098273568
76	6.069049532
77	6.043314977
78	6.024464738
79	6.002268738
80	5.979653537
81	5.962015345
82	5.945443933
83	5.925956433
84	5.907724688
85	5.896704116
86	5.877589566
87	5.864594842
88	5.847443705
89	5.838374717
90	5.825554501
91	5.816868433
92	5.804460062
93	5.792893618
94	5.781228498
95	5.768581663
96	5.7561808
97	5.74378316
98	5.734967898
99	5.726370098
100	5.717744594
101	5.705542824
102	5.699057842
103	5.685023011
104	5.674741979
105	5.663654991
106	5.652052222
107	5.641116151
108	5.633735372
109	5.62523534
110	5.616439222
111	5.607896059
112	5.598321252
113	5.591199249
114	5.584823374
115	5.576396086
116	5.570550329
117	5.561841002
118	5.556872624
119	5.549583528
120	5.544541773
121	5.53908498
122	5.530135671
123	5.525342759
124	5.518605648
125	5.515068053
126	5.509022802
127	5.504683218
128	5.497351119
129	5.491431121
130	5.487160289
131	5.48118832
132	5.473066991
133	5.469498105
134	5.465662225
135	5.459388652
136	5.455824098
137	5.451798504
138	5.44700429
139	5.440894482
140	5.436930995
141	5.432191077
142	5.429012095
143	5.423666475
144	5.415881433
145	5.41247438
146	5.408428344
147	5.404180926
148	5.400575058
149	5.398342134
150	5.396198979
151	5.392008976
152	5.389240166
153	5.386506043
154	5.381267955
155	5.377455461
156	5.374763332
157	5.372386174
158	5.36896579
159	5.366468723
160	5.363253377
161	5.359525218
162	5.357283627
163	5.353103957
164	5.350689942
165	5.347579153
166	5.346043082
167	5.343211572
168	5.340067455
169	5.336048431
170	5.33242501
171	5.327819295
172	5.324967345
173	5.323092237
174	5.318569635
175	5.31642162
176	5.315251492
177	5.314212485
178	5.311286215
179	5.308592621
180	5.306605782
181	5.304110493
182	5.301830964
183	5.299456185
184	5.296374475
185	5.294614995
186	5.292828923
187	5.290493828
188	5.288251114
189	5.285349282
190	5.28227487
191	5.280631124
192	5.275934334
193	5.273166293
194	5.270926956
195	5.269534222
196	5.267390941
197	5.265122724
198	5.263383526
199	5.260554944
200	5.259280186
201	5.255751378
202	5.253841419
203	5.252109622
204	5.249155326
205	5.246493042
206	5.24486991
207	5.242837627
208	5.241613449
209	5.239644625
210	5.237493305
211	5.236126187
212	5.235450181
213	5.234184683
214	5.230301994
215	5.22720579
216	5.224095783
217	5.222225139
218	5.221032642
219	5.219053191
220	5.217264013
221	5.216582879
222	5.215335679
223	5.214291866
224	5.211914734
225	5.211090178
226	5.209397052
227	5.207736435
228	5.20578153
229	5.205018811
230	5.204147405
231	5.203087975
232	5.20116013
233	5.199575363
234	5.197813071
235	5.196852052
236	5.194679614
237	5.193730759
238	5.191885556
239	5.190209176
240	5.188099644
241	5.187046803
242	5.18615476
243	5.185198538
244	5.18362156
245	5.182842537
246	5.181935349
247	5.179216888
248	5.177886162
249	5.177088031
250	5.175716537
251	5.1745328
252	5.173442699
253	5.171901955
254	5.170426096
255	5.168908751
256	5.167816745
257	5.166916219
258	5.165902161
259	5.165062846
260	5.162432897
261	5.161000582
262	5.159856322
263	5.157938067
264	5.156536724
265	5.155906493
266	5.152917543
267	5.150418421
268	5.149122818
269	5.146566594
270	5.145837603
271	5.144617369
272	5.143351536
273	5.139074553
274	5.136858533
275	5.135749757
276	5.133002489
277	5.132245595
278	5.131701758
279	5.131207267
280	5.128775068
281	5.128224071
282	5.124258942
283	5.123037178
284	5.122511533
285	5.12210065
286	5.121348032
287	5.118963775
288	5.117874748
289	5.11586507
290	5.112717863
291	5.110673736
292	5.10905407
293	5.108053606
294	5.106386679
295	5.105457822
296	5.103486313
297	5.101362472
298	5.100380341
299	5.097603754
300	5.097502584
301	5.096108545
302	5.095482129
303	5.093836956
304	5.093322399
305	5.091453073
306	5.089704662
307	5.08902021
308	5.087750086
309	5.085788934
310	5.081560542
311	5.080149228
312	5.077081844
313	5.07475242
314	5.070760952
315	5.068613557
316	5.065044053
317	5.06407578
318	5.062333969
319	5.061351519
320	5.058742956
321	5.057050942
322	5.054860427
323	5.052326807
324	5.0515596
325	5.049128956
326	5.047255537
327	5.045094794
328	5.044277696
329	5.043384613
330	5.040921681
331	5.037587336
332	5.036886427
333	5.033126365
334	5.032480447
335	5.030958267
336	5.029475513
337	5.028040008
338	5.026033917
339	5.025798343
340	5.023568617
